uid,age,group,bw
12,6.000,Control,36.500
12,7.000,Control,37.600
12,8.000,Control,37.600
12,9.000,Control,37.900
12,10.000,Control,38.700
12,11.000,Control,38.200
25,-0.286,Control,38.700
25,0.000,Control,37.500
25,1.000,Control,37.400
25,2.000,Control,37.000
25,3.000,Control,37.000
25,3.429,Control,37.300
25,4.000,Control,38.600
25,5.000,Control,37.700
25,6.000,Control,38.400
25,7.000,Control,37.800
25,8.000,Control,37.800
25,9.000,Control,38.500
25,10.000,Control,39.900
25,11.000,Control,39.400
29,-0.286,Control,36.800
29,0.000,Control,34.900
29,1.000,Control,33.700
29,2.000,Control,33.600
29,3.000,Control,33.500
29,3.429,Control,35.000
29,4.000,Control,35.600
29,5.000,Control,35.400
29,6.000,Control,34.500
29,7.000,Control,34.700
29,8.000,Control,34.700
29,9.000,Control,36.500
29,10.000,Control,38.200
29,11.000,Control,38.700
43,-0.286,Control,39.600
43,0.000,Control,36.800
43,1.000,Control,34.500
43,2.000,Control,34.000
43,3.000,Control,33.000
43,3.429,Control,33.400
43,4.000,Control,33.800
43,5.000,Control,34.300
43,6.000,Control,34.600
43,7.000,Control,35.000
43,8.000,Control,35.000
43,9.000,Control,35.500
43,10.000,Control,35.900
43,11.000,Control,36.100
51,-0.286,Control,39.400
51,0.000,Control,37.400
51,1.000,Control,35.800
51,2.000,Control,35.200
51,3.000,Control,36.800
51,3.429,Control,37.200
51,4.000,Control,37.600
51,5.000,Control,37.500
51,6.000,Control,36.800
51,7.000,Control,38.400
51,8.000,Control,38.400
51,9.000,Control,37.800
51,10.000,Control,38.800
51,11.000,Control,39.300
73,-0.286,Control,42.100
73,0.000,Control,39.200
73,1.000,Control,35.000
73,2.000,Control,34.300
73,3.000,Control,33.400
73,3.429,Control,34.100
73,4.000,Control,34.400
73,5.000,Control,33.900
73,6.000,Control,33.600
73,7.000,Control,33.400
73,8.000,Control,33.400
73,9.000,Control,33.400
73,10.000,Control,34.000
73,11.000,Control,33.900
78,-0.286,Control,37.500
78,0.000,Control,35.800
78,1.000,Control,34.200
78,2.000,Control,32.900
78,3.000,Control,33.300
78,3.429,Control,34.800
78,4.000,Control,35.700
78,5.000,Control,34.100
78,6.000,Control,34.400
78,7.000,Control,34.300
78,8.000,Control,34.300
78,9.000,Control,35.600
78,10.000,Control,36.000
78,11.000,Control,36.400
80,-0.286,Control,52.100
80,0.000,Control,48.300
80,1.000,Control,42.400
80,2.000,Control,41.300
80,3.000,Control,42.100
80,3.429,Control,43.400
80,4.000,Control,44.300
80,5.000,Control,46.200
80,6.000,Control,47.400
80,7.000,Control,48.200
